dataset,seed,intervention_target,DLL_var0,DLL_var1,DLL_var2,DeltaJS,DeltaKin,DeltaStat,DeltaTE_XtoVar0,DeltaTE_XtoVar1,DeltaTE_XtoVar2,lag
DatasetA,0,0,26.412735253354274,0.02398120998018228,0.0005980773687124404,0.15239010302484438,0.02718997608636675,0.38393073176689774,0.0,0.23639875885794148,0.12882382796050407,1
DatasetA,0,0,,,,0.1630926856382359,0.5603781126667348,0.38371071855382155,0.0,0.09144392947809754,0.08801913438851239,10
DatasetA,0,0,,,,0.16571922881436235,0.5837626367078707,0.382730879618413,0.0,0.0915694898792152,0.08238616422541734,50
DatasetA,0,1,0.014004395820166165,49.541598565397514,0.1601308994632328,0.15204312885849702,0.027254917953749236,0.30140443673634726,0.07762589122065,0.0,0.47380417943595776,1
DatasetA,0,1,,,,0.1549586481312154,0.560373102848967,0.301262734601858,0.08387120763685196,0.0,0.0842734853964835,10
DatasetA,0,1,,,,0.15900623005670164,0.5837576268229502,0.30027640272603967,0.08741762495504313,0.0,0.08990824062431058,50
DatasetA,0,2,0.9131249734924568,0.3882801440519631,171.10524406539795,0.14440853529203354,0.03415350696716635,0.23601846115804717,0.082294719843784,0.080164742181424,0.0,1
DatasetA,0,2,,,,0.13377478336446774,0.4353630989692311,0.23584024867872688,0.08365517303337233,0.0792720186447804,0.0,10
DatasetA,0,2,,,,0.14012013475579702,0.45874762271832764,0.23634123323235443,0.08374280838201376,0.0879402855661775,0.0,50
DatasetA,1,0,31.402103772604594,0.1224783349243663,0.02729483193448545,0.1349977474293439,0.247815541554672,0.38951415695867875,0.0,0.2256275433878494,0.12237347412557664,1
DatasetA,1,0,,,,0.12342513091570702,0.817919167689067,0.38890383899966485,0.0,0.08667823533002572,0.08984372851091216,10
DatasetA,1,0,,,,0.11969007229424905,0.8336838924874026,0.3892509621938654,0.0,0.09017832431571238,0.08693731564170015,50
DatasetA,1,1,0.020051879276071636,44.67487764417998,0.3408652644294534,0.1306848875561353,0.12281553155266633,0.30258366782918933,0.08371873048338418,0.0,0.4899262480312452,1
DatasetA,1,1,,,,0.138529832226011,0.6929191576690031,0.3024903495336258,0.08479892769123731,0.0,0.07915711830392702,10
DatasetA,1,1,,,,0.12923776809946433,0.7086838823860736,0.30293305799522696,0.08901865936488473,0.0,0.09197139525259468,50
DatasetA,1,2,0.1390202696768799,0.6349313691746173,202.2115129223935,0.1467955118169328,0.021022068898099766,0.23519977435358996,0.07857806545019863,0.08525243159801277,0.0,1
DatasetA,1,2,,,,0.13672011988487873,0.4429191521191337,0.23504556220009554,0.09017419331196219,0.0866897364393604,0.0,10
DatasetA,1,2,,,,0.13464226436528606,0.4586838769901993,0.23486227330993437,0.08771592565364772,0.08560328407129436,0.0,50
DatasetA,2,0,34.081972002426376,0.022646907637208915,0.002496844314336314,0.1920086807321288,0.09621365611667099,0.3881559323097734,0.0,0.22522956296813845,0.12716730974697965,1
DatasetA,2,0,,,,0.1631983819192224,0.6880865311311238,0.3878039703590611,0.0,0.09428297804755292,0.0871224643800792,10
DatasetA,2,0,,,,0.16531993168438183,0.7118071455112488,0.3873608757032959,0.0,0.09077580920455697,0.08858372672282622,50
DatasetA,2,1,0.06517259382398014,42.7564462114877,0.135676968015143,0.19659831267720773,0.028786353898465067,0.3044807290706581,0.08559977943094355,0.0,0.4813418538235954,1
DatasetA,2,1,,,,0.18715446256059207,0.5630865211183717,0.3045022859014134,0.09146267668492314,0.0,0.09194213321110567,10
DatasetA,2,1,,,,0.19688804601130744,0.5868071353988137,0.30354011006255,0.0856385713724448,0.0,0.0910353534904722,50
DatasetA,2,2,0.27794481545921185,0.1365638888149873,234.61126155709042,0.21027653520368542,0.05217561894308964,0.23407831757376046,0.08539693097772827,0.07574035356691211,0.0,1
DatasetA,2,2,,,,0.19641013709072913,0.3130865112386011,0.23412430615848528,0.07903455538721094,0.08384929001181307,0.0,10
DatasetA,2,2,,,,0.19813497640418007,0.3368071394427915,0.23388524840106165,0.0933243569955371,0.08824883716879928,0.0,50
DatasetA,3,0,32.82876225714334,0.08662870842919444,0.011230110261824662,0.1949114807808613,0.1634033924525241,0.3839013597664124,0.0,0.21178969950139193,0.1268410692248927,1
DatasetA,3,0,,,,0.20505431845990077,0.465449323362622,0.3843864254279338,0.0,0.0919143463789176,0.09167791870825104,10
DatasetA,3,0,,,,0.20468902552164608,0.45701921843963667,0.38505848603330894,0.0,0.08273451485099192,0.0929069259968105,50
DatasetA,3,1,0.004148268280880732,48.56609963076946,0.07773260473382863,0.17449641548063338,0.16347335668841534,0.3039674695308172,0.08310510087001233,0.0,0.4861726822410384,1
DatasetA,3,1,,,,0.18156502909433542,0.46543931414134365,0.3042622832299652,0.0944903825173089,0.0,0.08372284186948109,10
DatasetA,3,1,,,,0.18497263608422176,0.45700920913719634,0.3044012531187555,0.082862682381871,0.0,0.08473860008345868,50
DatasetA,3,2,1.2981315125154274,1.4129941219165056,259.7961508747107,0.15174433726030778,0.037152412039874294,0.23490324162005083,0.0787373137209717,0.07711558376549443,0.0,1
DatasetA,3,2,,,,0.13963328167932115,0.4654193112507227,0.23499151261787937,0.09303500090179284,0.07904095518430454,0.0,10
DatasetA,3,2,,,,0.135941231353178,0.4569892061824352,0.234936432688785,0.08851260756403878,0.08892834263291105,0.0,50
DatasetA,4,0,33.7746567685591,0.050218038391821304,0.0037710360079194305,0.21097842247627568,0.12902027587553477,0.39296505441015894,0.0,0.2293534341262078,0.12144966161134096,1
DatasetA,4,0,,,,0.2233317232715522,0.4587664739491805,0.3926475930911254,0.0,0.08958942984963247,0.09325869778742835,10
DatasetA,4,0,,,,0.22962738056069648,0.4536199500775486,0.39302182291220544,0.0,0.09642196735183761,0.08470957023198933,50
DatasetA,4,1,0.0407399134348206,45.34979286350487,0.1689728353609448,0.20549262708246677,0.12909023936103003,0.3069990553182263,0.08655324461433156,0.0,0.48358137239927457,1
DatasetA,4,1,,,,0.2044486635379828,0.45875646472774795,0.30668851122855895,0.09559665555618224,0.0,0.08556266489386122,10
DatasetA,4,1,,,,0.207312134173529,0.4536099407750211,0.30757740660011845,0.08634592198139446,0.0,0.08082174371672401,50
DatasetA,4,2,0.37750352165572426,0.0025188051973958347,191.48104294970065,0.14519629916044519,0.06034173240587226,0.23269668683874453,0.08046157444462176,0.07558409657035825,0.0,1
DatasetA,4,2,,,,0.13116924342085512,0.4587364612395915,0.23265006735961394,0.0877935196621693,0.08347872717010008,0.0,10
DatasetA,4,2,,,,0.13542772832886366,0.45358993728032243,0.23277388109403913,0.09112602718365759,0.08954288099751562,0.0,50
DatasetA,5,0,28.513609822714407,0.37386047096878017,0.0011046853763561563,0.2535122267543693,0.04694746473015088,0.3867562033587989,0.0,0.2132615284919852,0.12539562399884963,1
DatasetA,5,0,,,,0.25000298487886685,0.5782533524487188,0.3864650136767458,0.0,0.09147702858264806,0.09086878471915583,10
DatasetA,5,0,,,,0.2534583042392847,0.5991237604301642,0.38668669025626967,0.0,0.08453394885050125,0.08351132055246335,50
DatasetA,5,1,0.2723794670693904,45.32613416972834,0.22600163663585954,0.24266746791980198,0.15867564897007103,0.3032539514854986,0.07933500273571359,0.0,0.4832920303507535,1
DatasetA,5,1,,,,0.27287349398908234,0.45325334242466164,0.3030444808624392,0.08811999761153144,0.0,0.08524555802209921,10
DatasetA,5,1,,,,0.2417094204017813,0.4741237502400035,0.30257295900397907,0.08733542447831555,0.0,0.08917744206366907,50
DatasetA,5,2,0.013764491451605868,0.0005368816343745654,180.89455590134116,0.22756138340995435,0.04486115165860194,0.2345992882910641,0.0828746016444093,0.08283075273091822,0.0,1
DatasetA,5,2,,,,0.25719305338579396,0.3282433323923981,0.23457553367016504,0.08852306717288982,0.08687542980676399,0.0,10
DatasetA,5,2,,,,0.2685385778367973,0.34911375403573064,0.23359227025479723,0.08783609186314356,0.07976828649223977,0.0,50
DatasetA,6,0,29.05440126950365,0.0864077279480288,0.012364071676980577,0.1392667769498122,0.10890488403807919,0.385004060730618,0.0,0.21094990801425828,0.12016230574672959,1
DatasetA,6,0,,,,0.14704542197932435,0.6338459744935055,0.3856726176157348,0.0,0.09354598399075131,0.08983011139086328,10
DatasetA,6,0,,,,0.1531417947470512,0.7165238706923958,0.3846120089100713,0.0,0.08747024962162486,0.09065102642749334,50
DatasetA,6,1,0.11062963433232147,38.41277877544688,0.0039005568919343297,0.13549797849518108,0.016095125953123013,0.3038104661949211,0.08811982994841516,0.0,0.4788084192942521,1
DatasetA,6,1,,,,0.16413217101634214,0.5088459644591454,0.30441394741051203,0.0807629069993645,0.0,0.08896172106482014,10
DatasetA,6,1,,,,0.17305801745268312,0.5915238605455475,0.3033025584104788,0.08688868655349369,0.0,0.08054743277838794,50
DatasetA,6,2,0.10039716065374918,0.2811316820258619,206.99383458928554,0.1514494462867436,0.027711223576601718,0.2348754578430961,0.0808441724718938,0.07643212831495982,0.0,1
DatasetA,6,2,,,,0.17290539255139828,0.2588459539742996,0.23533243406962917,0.08461855170070942,0.08725938530638544,0.0,10
DatasetA,6,2,,,,0.1818717707919792,0.34152385082977266,0.2350025380742354,0.08545311124367094,0.09295467257129308,0.0,50
DatasetA,7,0,28.828729385682497,0.08439043400215138,0.11128225460349672,0.18351675803311499,0.05908162790682858,0.3817713490172915,0.0,0.22493621097573846,0.12619203911877408,1
DatasetA,7,0,,,,0.18832844421219389,0.5674526404702036,0.3814338644775397,0.0,0.09401495631466572,0.09405660180349118,10
DatasetA,7,0,,,,0.18943768261363714,0.5737756452739637,0.37999606845310197,0.0,0.08758981396570054,0.08882888160658897,50
DatasetA,7,1,0.006961575146108972,49.72742435727321,0.11470408388427368,0.18181448428293928,0.14400555616205224,0.3020358291248195,0.08389237636144098,0.0,0.4729445961893328,1
DatasetA,7,1,,,,0.19797735093726446,0.44245762984212555,0.3017471547714904,0.08294299941811545,0.0,0.07547722940282364,10
DatasetA,7,1,,,,0.1924316976465569,0.4487806345792848,0.2999610401561328,0.09338899988088833,0.0,0.09107072771156677,50
DatasetA,7,2,2.197783517199802,0.34114451135223706,202.32698551127487,0.18178421561508526,0.0353947334779009,0.2359629660987294,0.07986689680112735,0.08005535936381314,0.0,1
DatasetA,7,2,,,,0.17705360584948132,0.3174476203663984,0.23572419146450463,0.0978074662457824,0.08026887391241022,0.0,10
DatasetA,7,2,,,,0.17880543544372246,0.32377062607262275,0.23445063839634886,0.08348954359962191,0.0890744727089694,0.0,50
DatasetA,8,0,27.742286963877454,0.20306647026707245,0.2866107740495244,0.23724059607578296,0.1464319812194036,0.38315501616820735,0.0,0.2197090186479982,0.12748082559572027,1
DatasetA,8,0,,,,0.2764289706978267,0.4286689750657461,0.383075963769399,0.0,0.08687465893927282,0.09394299700109032,10
DatasetA,8,0,,,,0.2741158062348701,0.4598571528511863,0.3836332364543231,0.0,0.08370004010108234,0.09755040249598723,50
DatasetA,8,1,0.25262031281731273,48.79293946853649,0.038384678449967714,0.24179165490091925,0.14364035815361342,0.3012568231831163,0.07843275446246567,0.0,0.4771240744290266,1
DatasetA,8,1,,,,0.2645186448970775,0.428658965844373,0.3013340917486035,0.09066032085420472,0.0,0.08645475005050107,10
DatasetA,8,1,,,,0.270796266822346,0.45984714355534634,0.3015028672143306,0.09093159477842683,0.0,0.080784138058136,50
DatasetA,8,2,0.041304578457614885,2.1973400593875256,195.21573598219237,0.233573406849697,0.02448029914880523,0.23585598751089304,0.07927972182933041,0.07168985285370288,0.0,1
DatasetA,8,2,,,,0.2586452457144307,0.30364895653260615,0.23603812905983118,0.07803642282351175,0.08300502354604511,0.0,10
DatasetA,8,2,,,,0.2619850004365993,0.33483713498650675,0.23637323742179647,0.08218275027823285,0.08725208645489646,0.0,50
DatasetA,9,0,31.37730499809655,0.08425456211764258,0.029078943390441776,0.16461516638304763,0.011836517049243267,0.389903857992848,0.0,0.2224077645731355,0.12545986419627475,1
DatasetA,9,0,,,,0.16761866963583816,0.5773339312435735,0.3895939110777341,0.0,0.09730334083278658,0.08548143996670454,10
DatasetA,9,0,,,,0.1646357641803522,0.587318351627493,0.3899372176172903,0.0,0.08497310894310006,0.07818506239719003,50
DatasetA,9,1,0.027600966019385973,43.81228137511944,0.1955879435732795,0.16423616362929344,0.13683253324284106,0.3051685954552853,0.08475385302779803,0.0,0.47385403036053964,1
DatasetA,9,1,,,,0.19790680889372064,0.4523339212389116,0.3047381927030545,0.09355819245344277,0.0,0.08514821236175818,10
DatasetA,9,1,,,,0.19882228760334006,0.46231834160646823,0.30487635347553876,0.0886901910763922,0.0,0.0888334086061664,50
DatasetA,9,2,0.1775854827489179,0.0375778512112134,220.1338369140438,0.1669321455127082,0.02756967011393774,0.23397161099432745,0.08502443079826705,0.07306739472636847,0.0,1
DatasetA,9,2,,,,0.16664811249286346,0.3273239123599215,0.23392516137919808,0.08072563636103824,0.08416449087874955,0.0,10
DatasetA,9,2,,,,0.1589934347299381,0.33730834431694356,0.23374270053227253,0.08260038096973021,0.08452184295281118,0.0,50
